"Intent","Question","Answer","Entity"
"Lugares_rutas","Necesito ir","N/A",
"Lugares_rutas","Necesito ir Plaza del Sol","Oh! Desafortunadamente no hay ninguna ruta que te deje exactamente ahí, pero la ruta más cercana es <strong>águilas 2</strong>, puedes consultar el mapa aquí, sale a las <strong>5:30pm</strong> del anden <strong>30</strong>. Recuerda estar <strong>10 minutos antes</strong> para que tengas un lugar sin contratiempo.
<strong>Algo mas en lo que pueda ayudarte?</strong>","Lugares"
"Lugares_rutas","Necesito ir Plaza patria","La ruta de Zapopan 1 termina justamente en plaza patria, sale a las 5:30 del anden 32","Lugares"
"Lugares_rutas","Necesito ir Avenida Aviacion","N/A","Lugares"
"Lugares_rutas","Necesito ir Av Calma","La ruta patria pasa por la calma, sale del campus a las 5:30 del anden 28","Lugares"
"Lugares_rutas","Necesito ir Gran Plaza","Para ir a la Gran Plaza necesitas tomar la ruta Lazaro Cardenas 1 que sale a las 5:30 pm del anden 22","Lugares"
"Lugares_rutas","Necesito ir Providencia","La ruta que necesitas tomar es Zapopan 3.
Sale a las 5:30pm del anden 35, recuerda estar 10 minutos antes.","Lugares"
"Lugares_rutas","Necesito ir Glorieta Minerva","Actualmente no hay ninguna ruta que pase por la minerva.","Lugares"
"Lugares_rutas","Necesito ir Plaza Andares","Por el momento no existe ninguna ruta que vaya para Andares.","Lugares"
"Lugares_rutas","Necesito ir Plaza Galerias","Debes tomar la ruta de Lazaro Cardenas 1 y sale del campus del anden 22 a las 5:30pm","Lugares"
"Lugares_rutas","Necesito ir Zapopan","N/A","Lugares"
"Lugares_rutas","Necesito ir UVM Sur","La mejor opcion para ti es la ruta Periferico que sale del campus 5:30pm del anden 26.","Lugares"
"Lugares_rutas","Necesito ir Mariano Otero","La ruta se llama Mariano Otero, sale a las 5:30 del campus del anden 13","Lugares"
"Lugares_rutas","Necesito ir Chapala","N/A","Lugares"
"Lugares_rutas","Necesito ir Centro","La ruta Transito puede ser una buena opcion para ir al <strong>centro</strong> ya que tiene parada en Javier Mina y la Calzada, sale a las 5:30 del campus en el anden 24","Lugares"
"Lugares_rutas","Necesito ir Av Belisario Dominguez","La ruta San Isidro pasa por la Av. Belisario Dominguez, sale del campus a las 5:30 del anden 31","Lugares"
"Lugares_rutas","Necesito ir Periferico","N/A","Lugares"
"Lugares_rutas","Necesito ir Av 18 de marzo","La ruta Loma Bonita te puede ser util, sale a las 5:30 del campus en el anden 27","Lugares"
"Lugares_rutas","Necesito ir Av Chapultepec","La ruta Zapopan 3 que sale del anden 35 a las 5:30pm te deja a una cuadra de la glorieta Niños Heroes la cual se encuentra en Av. Chapultepec","Lugares"
"Lugares_rutas","Necesito ir Av Lazaro Cardenas","En el turno administrativo las rutas que pasan por lazaro cardenas son Lazaro Cardenas 1 (anden 22), Lazaro Cardenas 2 (anden 23) y Aviacion (anden 16).","Lugares"
"Lugares_rutas","Necesito ir Av Lopez Mateos","Patria 2, Tepeyac y Loma Bonita","Lugares"
"Lugares_rutas","Necesito ir Av Lopez Mateos Sur","Las rutas que pasan por Lopez Mateos Sur son Loma Bonita y Tepeyac del turno administrativo.","Lugares"
"Lugares_rutas","Necesito ir Periferico esquina con Vallarta","Puedes tomar dos rutas, Periferico que sale del anden 26 y Aviacion que sale del anden 16","Lugares"
"Lugares_rutas","Necesito ir El Fortin","La ruta que te deja mas cerca del fortin es la Mariano Otero que sale del anden 13","Lugares"
"Lugares_rutas","Necesito ir Expo Guadalajara","Ninguna ruta pasa por afuera de la Expo, la mejor opcion es Las Aguilas 2 que te deja en Av. Lapizlazuli y Av. Topacio.","Lugares"
"Lugares_rutas","Necesito ir Fraccionamiento Revolucion","La ruta Lazaro Cardenas 2 te deja muy cerca del Fraccionamiento Revolucion","Lugares"
